protocol,N,bootstrap_runs,valid_plans_median,valid_plans_min,mae_mean,mae_median,mae_p25,mae_p75,mae_iqr,ks_mean,ks_median,ks_p25,ks_p75,ks_iqr,wasserstein_mean,wasserstein_median,wasserstein_p25,wasserstein_p75,wasserstein_iqr,bottom_decile_agreement_mean,bottom_decile_agreement_median,bottom_decile_agreement_p25,bottom_decile_agreement_p75,bottom_decile_agreement_iqr
Lung SBRT 54Gy in 3fx,75,50,22.0,22,0.0278291613615084,0.024546512050951,0.0213713628449795,0.0330871249462804,0.0117157621013008,0.2290909090909091,0.2272727272727273,0.1818181818181818,0.2727272727272728,0.090909090909091,0.0225567075670061,0.0169384323445698,0.0135111330973287,0.0298538640796842,0.0163427309823554,0.9327272727272724,0.9090909090909092,0.9090909090909092,1.0,0.0909090909090909
Lung SBRT 60Gy in 5fx,10,50,31.0,31,0.0795876443843897,0.0695198378925337,0.0530588800177653,0.0905692863980594,0.037510406380294,0.3851612903225806,0.3548387096774194,0.2903225806451612,0.4758064516129032,0.185483870967742,0.0725017467685382,0.0636735942114686,0.0401908853698168,0.0879843613840589,0.0477934760142421,0.895483870967742,0.8709677419354839,0.8387096774193549,0.935483870967742,0.096774193548387
Lung SBRT 60Gy in 5fx,20,50,31.0,31,0.0497734707729425,0.0492302340778807,0.0375235525354333,0.0559725626531502,0.0184490101177169,0.3051612903225806,0.3064516129032257,0.2016129032258064,0.3870967741935484,0.1854838709677419,0.0406338567780765,0.037945637649021,0.0277699509269929,0.0522725921770801,0.0245026412500872,0.9051612903225807,0.935483870967742,0.8709677419354839,0.935483870967742,0.064516129032258
Lung SBRT 60Gy in 5fx,30,50,31.0,31,0.0405869669255789,0.0380090373571725,0.0324484789850704,0.0454678015891463,0.0130193226040758,0.267741935483871,0.2580645161290322,0.1935483870967742,0.3225806451612903,0.1290322580645161,0.0332008628516336,0.0287565318203222,0.0220946673406451,0.0415438979922505,0.0194492306516053,0.9406451612903228,0.935483870967742,0.9112903225806452,1.0,0.0887096774193548
Lung SBRT 60Gy in 5fx,50,50,31.0,31,0.031991801519089,0.029810976212703,0.0231672541697718,0.0354790247184191,0.0123117705486473,0.2432258064516128,0.2258064516129032,0.1612903225806451,0.2903225806451613,0.1290322580645161,0.0268202278889208,0.0235699136450375,0.0166358074590851,0.0328614711373959,0.0162256636783108,0.9567741935483872,1.0,0.935483870967742,1.0,0.0645161290322581
Lung SBRT 60Gy in 5fx,75,50,31.0,31,0.0273689821388223,0.0247317142629324,0.0208619370808869,0.0328943587194753,0.0120324216385883,0.232258064516129,0.2258064516129032,0.1612903225806451,0.2903225806451613,0.1290322580645161,0.0229251421629368,0.0207276619016369,0.0149031262135996,0.0270337792204666,0.0121306530068669,0.975483870967742,1.0,0.935483870967742,1.0,0.0645161290322581
Lung SBRT 60Gy in 5fx,100,50,31.0,31,0.0224057527453998,0.0206301556971936,0.0173092751048367,0.0268548399072368,0.0095455648024,0.2032258064516129,0.1935483870967742,0.1612903225806451,0.25,0.0887096774193548,0.019043505390849,0.0171159557674204,0.0133220245986129,0.0224462412759875,0.0091242166773745,0.9748387096774196,1.0,0.935483870967742,1.0,0.0645161290322581
Pancrease in 28-30fx,10,50,13.0,13,0.1514643532626726,0.1314095723759589,0.1174341445980101,0.1814694253769884,0.0640352807789782,0.3430769230769231,0.3076923076923077,0.2307692307692308,0.4615384615384615,0.2307692307692307,0.1233644917796178,0.1025508493995889,0.0795836283231241,0.1543571274663711,0.074773499143247,0.9938461538461538,1.0,1.0,1.0,0.0
Prostate 70Gy in 28fx,10,50,92.0,92,0.1082794868379374,0.0959588784699807,0.0599584038973352,0.1486730166623686,0.0887146127650334,0.3432608695652174,0.2826086956521739,0.25,0.4239130434782608,0.1739130434782608,0.1047844688287315,0.0903791455242357,0.0543381226591224,0.133733605912578,0.0793954832534555,0.9643478260869564,0.9891304347826086,0.9347826086956522,1.0,0.0652173913043477
Prostate 70Gy in 28fx,20,50,92.0,92,0.0697380845428034,0.0641573036905853,0.0407908584152752,0.0912257199581367,0.0504348615428615,0.2936956521739131,0.25,0.25,0.3478260869565217,0.0978260869565217,0.0673899036937182,0.0635686295943693,0.0386606982621994,0.0906029415934626,0.0519422433312632,0.9839130434782608,1.0,0.9891304347826086,1.0,0.0108695652173913
Prostate 70Gy in 28fx,30,50,92.0,92,0.0463523954019759,0.0413281609155185,0.0271138898012586,0.0626383189749979,0.0355244291737393,0.2517391304347826,0.25,0.2391304347826087,0.25,0.0108695652173912,0.043885452023561,0.0387565473250099,0.0257058276048362,0.0600752927499215,0.0343694651450853,0.9906521739130434,1.0,0.9891304347826086,1.0,0.0108695652173913
Prostate 70Gy in 28fx,50,50,92.0,92,0.0402153785669293,0.0373976016153735,0.0235566044869165,0.0499793498193681,0.0264227453324515,0.2497826086956522,0.25,0.2391304347826087,0.2608695652173913,0.0217391304347825,0.0386911318014985,0.0339872396296149,0.0201010268979884,0.0476553802970898,0.0275543533991013,0.9947826086956522,1.0,1.0,1.0,0.0
Prostate 70Gy in 28fx,75,50,92.0,92,0.0301684067852207,0.0236536864995076,0.0169927308271595,0.0357271723230341,0.0187344414958745,0.2454347826086957,0.2391304347826087,0.2391304347826087,0.25,0.0108695652173912,0.0287365899907479,0.0208660691284477,0.014992717771798,0.0332572014330126,0.0182644836612146,0.9989130434782608,1.0,1.0,1.0,0.0
Prostate 70Gy in 28fx,100,50,92.0,92,0.026241295901879,0.0243982403095541,0.0170254484859715,0.0313005830159362,0.0142751345299647,0.2460869565217391,0.25,0.2391304347826087,0.25,0.0108695652173912,0.0251416742677401,0.0236210140148438,0.0156812815150085,0.0307357229276587,0.0150544414126502,0.9986956521739132,1.0,1.0,1.0,0.0
Prostate Fossa 6840 38 fx,10,50,20.0,20,0.1004931705609435,0.0967184212706121,0.0726857975905412,0.1255124424119381,0.0528266448213968,0.3229999999999999,0.3,0.2625,0.35,0.0874999999999999,0.0997939557179272,0.0960318788725488,0.0707613981475877,0.1255085662694631,0.0547471681218753,0.935,0.9,0.9,1.0,0.0999999999999999
